"user_id","meta_value"
2624,"a:1:{s:8:""guardian"";b:1;}"
3580,"a:1:{s:8:""guardian"";b:1;}"
3301,"a:1:{s:8:""guardian"";b:1;}"
2939,"a:1:{s:8:""guardian"";b:1;}"
2705,"a:1:{s:8:""guardian"";b:1;}"
3985,"a:1:{s:8:""guardian"";b:1;}"
3589,"a:1:{s:8:""guardian"";b:1;}"
3509,"a:1:{s:8:""guardian"";b:1;}"
2652,"a:1:{s:8:""guardian"";b:1;}"
2502,"a:1:{s:8:""guardian"";b:1;}"
2444,"a:1:{s:8:""guardian"";b:1;}"
3823,"a:1:{s:8:""guardian"";b:1;}"
3516,"a:1:{s:8:""guardian"";b:1;}"
3542,"a:1:{s:8:""guardian"";b:1;}"
3444,"a:1:{s:8:""guardian"";b:1;}"
3390,"a:1:{s:8:""guardian"";b:1;}"
3167,"a:1:{s:8:""guardian"";b:1;}"
3158,"a:1:{s:8:""guardian"";b:1;}"
2815,"a:1:{s:8:""guardian"";b:1;}"
2753,"a:1:{s:8:""guardian"";b:1;}"
2541,"a:2:{s:8:""guardian"";b:1;s:8:""customer"";b:1;}"
3588,"a:1:{s:8:""guardian"";b:1;}"
3354,"a:1:{s:8:""guardian"";b:1;}"
3082,"a:1:{s:8:""guardian"";b:1;}"
2953,"a:1:{s:8:""guardian"";b:1;}"
2790,"a:1:{s:8:""guardian"";b:1;}"
2606,"a:1:{s:8:""guardian"";b:1;}"
2553,"a:1:{s:8:""guardian"";b:1;}"
2479,"a:1:{s:8:""guardian"";b:1;}"
3120,"a:1:{s:8:""guardian"";b:1;}"
2469,"a:1:{s:8:""guardian"";b:1;}"
3980,"a:1:{s:8:""guardian"";b:1;}"
3728,"a:1:{s:8:""guardian"";b:1;}"
3676,"a:1:{s:8:""guardian"";b:1;}"
3745,"a:1:{s:8:""guardian"";b:1;}"
3319,"a:1:{s:8:""guardian"";b:1;}"
2741,"a:1:{s:8:""guardian"";b:1;}"
2677,"a:1:{s:8:""guardian"";b:1;}"
2559,"a:1:{s:8:""guardian"";b:1;}"
3859,"a:1:{s:8:""guardian"";b:1;}"
3788,"a:1:{s:8:""guardian"";b:1;}"
3682,"a:1:{s:8:""guardian"";b:1;}"
3554,"a:1:{s:8:""guardian"";b:1;}"
3311,"a:1:{s:8:""guardian"";b:1;}"
3086,"a:1:{s:8:""guardian"";b:1;}"
3047,"a:1:{s:8:""guardian"";b:1;}"
3956,"a:1:{s:8:""guardian"";b:1;}"
2563,"a:1:{s:8:""guardian"";b:1;}"
2472,"a:1:{s:8:""guardian"";b:1;}"
3634,"a:1:{s:8:""guardian"";b:1;}"
3443,"a:1:{s:8:""guardian"";b:1;}"
3394,"a:1:{s:8:""guardian"";b:1;}"
3655,"a:1:{s:8:""guardian"";b:1;}"
2617,"a:1:{s:8:""guardian"";b:1;}"
3919,"a:1:{s:8:""guardian"";b:1;}"
2631,"a:1:{s:8:""guardian"";b:1;}"
3603,"a:1:{s:8:""guardian"";b:1;}"
3050,"a:1:{s:8:""guardian"";b:1;}"
3523,"a:1:{s:8:""guardian"";b:1;}"
3454,"a:1:{s:8:""guardian"";b:1;}"
2747,"a:1:{s:8:""guardian"";b:1;}"
2746,"a:1:{s:8:""guardian"";b:1;}"
2938,"a:1:{s:8:""guardian"";b:1;}"
2911,"a:1:{s:8:""guardian"";b:1;}"
2727,"a:1:{s:8:""guardian"";b:1;}"
2937,"a:1:{s:8:""guardian"";b:1;}"
3346,"a:1:{s:8:""guardian"";b:1;}"
2936,"a:1:{s:8:""guardian"";b:1;}"
2571,"a:1:{s:8:""guardian"";b:1;}"
3483,"a:1:{s:8:""guardian"";b:1;}"
3370,"a:1:{s:8:""guardian"";b:1;}"
3106,"a:1:{s:8:""guardian"";b:1;}"
3085,"a:1:{s:8:""guardian"";b:1;}"
2497,"a:1:{s:8:""guardian"";b:1;}"
2688,"a:1:{s:8:""guardian"";b:1;}"
3242,"a:1:{s:8:""guardian"";b:1;}"
2770,"a:1:{s:8:""guardian"";b:1;}"
3754,"a:1:{s:8:""guardian"";b:1;}"
3610,"a:1:{s:8:""guardian"";b:1;}"
3113,"a:1:{s:8:""guardian"";b:1;}"
3207,"a:1:{s:8:""guardian"";b:1;}"
3078,"a:1:{s:8:""guardian"";b:1;}"
3070,"a:1:{s:8:""guardian"";b:1;}"
3059,"a:1:{s:8:""guardian"";b:1;}"
3892,"a:1:{s:8:""guardian"";b:1;}"
2662,"a:1:{s:8:""guardian"";b:1;}"
3609,"a:1:{s:8:""guardian"";b:1;}"
3466,"a:1:{s:8:""guardian"";b:1;}"
3782,"a:1:{s:8:""guardian"";b:1;}"
3217,"a:1:{s:8:""guardian"";b:1;}"
2696,"a:1:{s:8:""guardian"";b:1;}"
3175,"a:1:{s:8:""guardian"";b:1;}"
2951,"a:1:{s:8:""guardian"";b:1;}"
3284,"a:1:{s:8:""guardian"";b:1;}"
2605,"a:1:{s:8:""guardian"";b:1;}"
3760,"a:1:{s:8:""guardian"";b:1;}"
2756,"a:1:{s:8:""guardian"";b:1;}"
2604,"a:1:{s:8:""guardian"";b:1;}"
2449,"a:1:{s:8:""guardian"";b:1;}"
3989,"a:1:{s:8:""guardian"";b:1;}"
3822,"a:1:{s:8:""guardian"";b:1;}"
3882,"a:1:{s:8:""guardian"";b:1;}"
3853,"a:1:{s:8:""guardian"";b:1;}"
3487,"a:1:{s:8:""guardian"";b:1;}"
3256,"a:1:{s:8:""guardian"";b:1;}"
2819,"a:1:{s:8:""guardian"";b:1;}"
2500,"a:1:{s:8:""guardian"";b:1;}"
3929,"a:1:{s:8:""guardian"";b:1;}"
3907,"a:1:{s:8:""guardian"";b:1;}"
3832,"a:1:{s:8:""guardian"";b:1;}"
3766,"a:1:{s:8:""guardian"";b:1;}"
3792,"a:1:{s:8:""guardian"";b:1;}"
3407,"a:1:{s:8:""guardian"";b:1;}"
2785,"a:1:{s:8:""guardian"";b:1;}"
3891,"a:1:{s:8:""guardian"";b:1;}"
3177,"a:1:{s:8:""guardian"";b:1;}"
2749,"a:1:{s:8:""guardian"";b:1;}"
2599,"a:1:{s:8:""guardian"";b:1;}"
3873,"a:1:{s:8:""guardian"";b:1;}"
3008,"a:1:{s:8:""guardian"";b:1;}"
3345,"a:1:{s:8:""guardian"";b:1;}"
2593,"a:1:{s:8:""guardian"";b:1;}"
3098,"a:1:{s:8:""guardian"";b:1;}"
2813,"a:1:{s:8:""guardian"";b:1;}"
2582,"a:1:{s:8:""guardian"";b:1;}"
2570,"a:1:{s:8:""guardian"";b:1;}"
2537,"a:1:{s:8:""guardian"";b:1;}"
3846,"a:1:{s:8:""guardian"";b:1;}"
3657,"a:2:{s:8:""guardian"";b:1;s:12:""bishopgalvin"";b:1;}"
2810,"a:1:{s:8:""guardian"";b:1;}"
2695,"a:1:{s:8:""guardian"";b:1;}"
2468,"a:1:{s:8:""guardian"";b:1;}"
3938,"a:1:{s:8:""guardian"";b:1;}"
3653,"a:1:{s:8:""guardian"";b:1;}"
3428,"a:1:{s:8:""guardian"";b:1;}"
2454,"a:1:{s:8:""guardian"";b:1;}"
3721,"a:1:{s:8:""guardian"";b:1;}"
3046,"a:1:{s:8:""guardian"";b:1;}"
2900,"a:1:{s:8:""guardian"";b:1;}"
2680,"a:1:{s:8:""guardian"";b:1;}"
2446,"a:1:{s:8:""guardian"";b:1;}"
3984,"a:1:{s:8:""guardian"";b:1;}"
3571,"a:1:{s:8:""guardian"";b:1;}"
3416,"a:1:{s:8:""guardian"";b:1;}"
3410,"a:1:{s:8:""guardian"";b:1;}"
3283,"a:1:{s:8:""guardian"";b:1;}"
2952,"a:1:{s:8:""guardian"";b:1;}"
2704,"a:1:{s:8:""guardian"";b:1;}"
2495,"a:2:{s:8:""guardian"";b:1;s:13:""bishop_galvin"";b:1;}"
3847,"a:1:{s:8:""guardian"";b:1;}"
3578,"a:1:{s:8:""guardian"";b:1;}"
3276,"a:1:{s:8:""guardian"";b:1;}"
2789,"a:1:{s:8:""guardian"";b:1;}"
2487,"a:1:{s:8:""guardian"";b:1;}"
3686,"a:1:{s:8:""guardian"";b:1;}"
3685,"a:1:{s:8:""guardian"";b:1;}"
3557,"a:1:{s:8:""guardian"";b:1;}"
3433,"a:1:{s:8:""guardian"";b:1;}"
2739,"a:1:{s:8:""guardian"";b:1;}"
3684,"a:1:{s:8:""guardian"";b:1;}"
3510,"a:1:{s:8:""guardian"";b:1;}"
2967,"a:1:{s:8:""guardian"";b:1;}"
2966,"a:1:{s:8:""guardian"";b:1;}"
3206,"a:1:{s:8:""guardian"";b:1;}"
2489,"a:1:{s:8:""guardian"";b:1;}"
3163,"a:1:{s:8:""guardian"";b:1;}"
2788,"a:1:{s:8:""guardian"";b:1;}"
3714,"a:1:{s:8:""guardian"";b:1;}"
3654,"a:1:{s:8:""guardian"";b:1;}"
3591,"a:1:{s:8:""guardian"";b:1;}"
3246,"a:1:{s:8:""guardian"";b:1;}"
2660,"a:1:{s:8:""guardian"";b:1;}"
2808,"a:1:{s:8:""guardian"";b:1;}"
2787,"a:1:{s:8:""guardian"";b:1;}"
3162,"a:1:{s:8:""guardian"";b:1;}"
2714,"a:1:{s:8:""guardian"";b:1;}"
3084,"a:1:{s:8:""guardian"";b:1;}"
2659,"a:1:{s:8:""guardian"";b:1;}"
3815,"a:1:{s:8:""guardian"";b:1;}"
3594,"a:1:{s:8:""guardian"";b:1;}"
3553,"a:1:{s:8:""guardian"";b:1;}"
3440,"a:1:{s:8:""guardian"";b:1;}"
3183,"a:1:{s:8:""guardian"";b:1;}"
3094,"a:1:{s:8:""guardian"";b:1;}"
3359,"a:1:{s:8:""guardian"";b:1;}"
3275,"a:1:{s:8:""guardian"";b:1;}"
3438,"a:1:{s:8:""guardian"";b:1;}"
3107,"a:1:{s:8:""guardian"";b:1;}"
2629,"a:1:{s:8:""guardian"";b:1;}"
4013,"a:1:{s:8:""guardian"";b:1;}"
3764,"a:1:{s:8:""guardian"";b:1;}"
2761,"a:1:{s:8:""guardian"";b:1;}"
2656,"a:1:{s:8:""guardian"";b:1;}"
2450,"a:1:{s:8:""guardian"";b:1;}"
2839,"a:1:{s:8:""guardian"";b:1;}"
3002,"a:1:{s:8:""guardian"";b:1;}"
3140,"a:1:{s:8:""guardian"";b:1;}"
2713,"a:1:{s:8:""guardian"";b:1;}"
2935,"a:1:{s:8:""guardian"";b:1;}"
3700,"a:1:{s:8:""guardian"";b:1;}"
2765,"a:1:{s:8:""guardian"";b:1;}"
3419,"a:1:{s:8:""guardian"";b:1;}"
3418,"a:1:{s:8:""guardian"";b:1;}"
3936,"a:1:{s:8:""guardian"";b:1;}"
3965,"a:3:{s:8:""guardian"";b:1;s:13:""bishop_galvin"";b:1;s:12:""bishopgalvin"";b:1;}"
3852,"a:1:{s:8:""guardian"";b:1;}"
3022,"a:1:{s:8:""guardian"";b:1;}"
2498,"a:1:{s:8:""guardian"";b:1;}"
3908,"a:2:{s:8:""guardian"";b:1;s:8:""customer"";b:1;}"
3830,"a:1:{s:8:""guardian"";b:1;}"
2802,"a:1:{s:8:""guardian"";b:1;}"
3157,"a:1:{s:8:""guardian"";b:1;}"
2927,"a:1:{s:8:""guardian"";b:1;}"
3763,"a:1:{s:8:""guardian"";b:1;}"
3829,"a:1:{s:8:""guardian"";b:1;}"
2658,"a:1:{s:8:""guardian"";b:1;}"
3525,"a:1:{s:8:""guardian"";b:1;}"
2999,"a:1:{s:8:""guardian"";b:1;}"
3958,"a:1:{s:8:""guardian"";b:1;}"
2467,"a:1:{s:8:""guardian"";b:1;}"
3855,"a:1:{s:8:""guardian"";b:1;}"
3118,"a:1:{s:8:""guardian"";b:1;}"
3032,"a:1:{s:8:""guardian"";b:1;}"
3526,"a:1:{s:8:""guardian"";b:1;}"
2934,"a:1:{s:8:""guardian"";b:1;}"
2647,"a:1:{s:8:""guardian"";b:1;}"
3744,"a:1:{s:8:""guardian"";b:1;}"
3020,"a:1:{s:8:""guardian"";b:1;}"
2538,"a:1:{s:8:""guardian"";b:1;}"
3996,"a:1:{s:8:""guardian"";b:1;}"
2460,"a:1:{s:8:""guardian"";b:1;}"
2496,"a:1:{s:8:""guardian"";b:1;}"
2726,"a:1:{s:8:""guardian"";b:1;}"
3638,"a:1:{s:8:""guardian"";b:1;}"
2926,"a:1:{s:8:""guardian"";b:1;}"
2445,"a:1:{s:8:""guardian"";b:1;}"
2700,"a:1:{s:8:""guardian"";b:1;}"
2854,"a:1:{s:8:""guardian"";b:1;}"
3079,"a:1:{s:8:""guardian"";b:1;}"
